------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=120 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=119.999 sec; Warm up time=400 msec; SentMessages=12001; ReceivedMessages=12000
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=119.540 sec; SentMessages=11955; ReceivedMessages=11955
sockperf: [2;35m====> avg-rtt=66.328 (std-dev=100.572, mean-ad=21.204, median-ad=16.105, siqr=11.703, cv=1.516, std-error=0.920, 99.0% ci=[63.959, 68.697])[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11955 observations[0m; each percentile contains 119.55 observations
sockperf: ---> <MAX> observation = 4016.060
sockperf: ---> percentile 99.999 = 4016.060
sockperf: ---> percentile 99.990 = 3518.218
sockperf: ---> percentile 99.900 = 1885.813
sockperf: ---> percentile 99.000 =  223.075
sockperf: ---> percentile 90.000 =   85.152
sockperf: ---> percentile 75.000 =   70.596
sockperf: ---> percentile 50.000 =   56.554
sockperf: ---> percentile 25.000 =   47.190
sockperf: ---> <MIN> observation =   21.605
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
319, 10.607140460, 10.607228561, 88.101
320, 10.617140470, 10.617244100, 103.630
321, 10.627140462, 10.627197898, 57.436
322, 10.637140465, 10.637235050, 94.585
323, 10.647140463, 10.647228107, 87.644
324, 10.657140491, 10.657206948, 66.457
325, 10.667140470, 10.667205915, 65.445
326, 10.677140471, 10.677197868, 57.397
327, 10.687140460, 10.687194891, 54.431
328, 10.697140464, 10.697222026, 81.562
329, 10.707140466, 10.707219137, 78.671
330, 10.717140487, 10.717222999, 82.512
331, 10.727140471, 10.727217639, 77.168
332, 10.737140465, 10.737216606, 76.141
333, 10.747140474, 10.747220345, 79.871
334, 10.757140466, 10.757204429, 63.963
335, 10.767140469, 10.767194769, 54.300
336, 10.777140470, 10.777185189, 44.719
337, 10.787140466, 10.787187234, 46.768
338, 10.797140465, 10.797182076, 41.611
339, 10.807140465, 10.807207030, 66.565
340, 10.817140591, 10.817217545, 76.954
341, 10.827140468, 10.827194374, 53.906
342, 10.837140490, 10.837197631, 57.141
343, 10.847140468, 10.847186581, 46.113
344, 10.857140572, 10.857210558, 69.986
345, 10.867140529, 10.867200356, 59.827
346, 10.877141370, 10.877225802, 84.432
347, 10.887140463, 10.887231583, 91.120
348, 10.897140463, 10.897198937, 58.474
349, 10.907140459, 10.907233935, 93.476
350, 10.917140464, 10.917207071, 66.607
351, 10.927140461, 10.927211956, 71.495
352, 10.937140469, 10.937219664, 79.195
353, 10.947140471, 10.947229502, 89.031
354, 10.957140465, 10.957197136, 56.671
355, 10.967140470, 10.967201692, 61.222
356, 10.977140468, 10.977200438, 59.970
357, 10.987140465, 10.987213791, 73.326
358, 10.997140463, 10.997203900, 63.437
359, 11.007140469, 11.007196099, 55.630
360, 11.017140464, 11.017218524, 78.060
361, 11.027140470, 11.027209603, 69.133
362, 11.037140471, 11.037188391, 47.920
363, 11.047140470, 11.047199372, 58.902
364, 11.057140466, 11.057188768, 48.302
365, 11.067140463, 11.067200590, 60.127
366, 11.077140465, 11.077193931, 53.466
367, 11.087140464, 11.087188983, 48.519
368, 11.097140464, 11.097190650, 50.186
369, 11.107140465, 11.107192270, 51.805
370, 11.117140467, 11.117190450, 49.983
371, 11.127140470, 11.127201901, 61.431
372, 11.137140934, 11.139026748, 1885.814
373, 11.147140861, 11.147227674, 86.813
374, 11.157140495, 11.157207755, 67.260
375, 11.167140493, 11.167209834, 69.341
376, 11.177140493, 11.177198705, 58.212
377, 11.187140512, 11.187197954, 57.442
378, 11.197140465, 11.197182275, 41.810
379, 11.207140469, 11.207179608, 39.139
380, 11.217140468, 11.217193938, 53.470
381, 11.227140487, 11.227203547, 63.060
382, 11.237140488, 11.237205991, 65.503
383, 11.247140464, 11.247196479, 56.015
384, 11.257140462, 11.257191579, 51.117
385, 11.267140469, 11.267196459, 55.990
386, 11.277140466, 11.277196770, 56.304
387, 11.287140461, 11.287195614, 55.153
388, 11.297140464, 11.297204395, 63.931
389, 11.307140466, 11.307211678, 71.212
390, 11.317140461, 11.317229778, 89.317
391, 11.327140460, 11.327214213, 73.753
